predicted_demand_MW,mapped_predicted_wind_fraction,mapped_predicted_wind_MW,scenario_residual_load_MW,wind_share_of_predicted_demand
1054.3948936666666,0.1817003333333335,181.7003333333335,872.6945603333331,0.17232664386439617
1079.3629876666666,0.19992766666666673,199.92766666666674,879.4353209999999,0.18522746189293016
1086.6622243333343,0.19224566666666665,192.24566666666664,894.4165576666676,0.1769139134146391
1078.9909560000008,0.28130433333333343,281.30433333333343,797.6866226666673,0.26071055718221725
1076.079712333333,0.5407780000000001,540.7780000000001,535.3017123333328,0.5025445548335786
1065.5148973333337,0.7434670000000002,743.4670000000002,322.0478973333335,0.6977537356452514
1050.074105333334,0.7748076666666671,774.8076666666672,275.2664386666669,0.7378599879107707
1049.7196120000017,0.775098666666667,775.0986666666671,274.6209453333346,0.7383863822358173
1106.0471523333342,0.7578469999999999,757.847,348.20015233333424,0.6851850740732294
1111.321479000001,0.6990603333333335,699.0603333333335,412.26114566666763,0.6290352040728736
1101.970017,0.640949666666667,640.949666666667,461.0203503333331,0.5816398420817169
1076.1959429999995,0.5926179999999999,592.6179999999998,483.57794299999966,0.550659946132133
1049.824230666666,0.5483753333333334,548.3753333333334,501.4488973333325,0.5223496632241958
1004.8311796666665,0.440574,440.574,564.2571796666664,0.4384557415367545
977.4553503333314,0.3515686666666669,351.5686666666669,625.8866836666645,0.3596774692028389
935.5733943333323,0.3251819999999998,325.1819999999998,610.3913943333325,0.3475750827990538
902.8707079999989,0.25354466666666636,253.54466666666636,649.3260413333326,0.28082056978934206
890.721922666666,0.1837156666666667,183.7156666666667,707.0062559999993,0.20625479399525054
885.0177983333339,0.1849583333333335,184.9583333333335,700.0594650000004,0.2089882640571152
889.5634016666668,0.1875133333333335,187.5133333333335,702.0500683333332,0.21079254495184105
873.4314948933343,0.1818833333333333,181.88333333333333,691.548161560001,0.2082399528717995
891.8053646666677,0.25000266666666665,250.00266666666664,641.8026980000011,0.28033321683382195
951.675998926667,0.384904,384.904,566.771998926667,0.40444857328976247
1010.0468249999999,0.4237869999999999,423.7869999999999,586.259825,0.4195716371862265
1077.4681293333344,0.29682166666666676,296.8216666666668,780.6464626666677,0.2754806927331765
1085.4063879600005,0.24228566666666676,242.28566666666677,843.1207212933338,0.2232211541725287
1087.5951616266668,0.20651266666666657,206.51266666666658,881.0824949600003,0.18988008953422975
1073.5610456666673,0.18885300000000027,188.85300000000026,884.708045666667,0.17591267936023613
1070.682949,0.18470733333333342,184.70733333333342,885.9756156666666,0.172513565762719
1059.3526259999999,0.19969533333333345,199.69533333333345,859.6572926666664,0.18850695078499147
1024.766728000001,0.193827,193.827,830.939728000001,0.18914255771973093
1027.4211026666671,0.21320266666666685,213.20266666666686,814.2184360000003,0.20751244656480214
1087.5934560000005,0.17787466666666685,177.87466666666685,909.7187893333337,0.1635488570525812
1106.9315446666665,0.19310033333333346,193.10033333333345,913.831211333333,0.17444649966270706
1099.6659803333328,0.20748266666666687,207.48266666666686,892.1833136666659,0.18867789890506054
1084.7968736666664,0.21067700000000023,210.67700000000022,874.1198736666662,0.19420870866626086
1034.5246833333322,0.20986766666666692,209.86766666666693,824.6570166666652,0.2028638562691944
990.5882676666671,0.22162133333333334,221.62133333333333,768.9669343333337,0.2237269918968078
988.3933896666674,0.33006899999999995,330.06899999999996,658.3243896666675,0.3339449691294624
957.627656,0.42431366666666664,424.3136666666666,533.3139893333334,0.44308835903823
929.4724466666669,0.4870150000000002,487.0150000000002,442.45744666666667,0.5239692706831325
904.8135106666662,0.6128573333333334,612.8573333333334,291.9561773333328,0.6773299979592263
899.3746663333338,0.6410293333333331,641.0293333333332,258.34533300000066,0.7127500443688831
921.6009186666656,0.6654493333333336,665.4493333333336,256.15158533333204,0.7220580186661254
927.5899569999999,0.6782426666666665,678.2426666666665,249.34729033333338,0.7311880228417206
1051.8076120000005,0.7471203333333335,747.1203333333335,304.687278666667,0.7103203331193739
1197.9593966666662,0.7814326666666671,781.4326666666672,416.526729999999,0.6523031321771099
1296.6069016666659,0.7697560000000003,769.7560000000003,526.8509016666655,0.5936695223591295
1369.888685666668,0.7506596666666667,750.6596666666667,619.2290190000012,0.5479712873906626
1352.0999196666667,0.6948680000000003,694.8680000000003,657.2319196666664,0.5139176401780322
1337.9215560000018,0.6412629999999999,641.2629999999999,696.6585560000019,0.47929790586317383
1332.0505550000007,0.5473783333333335,547.3783333333336,784.6722216666672,0.41092909820778784
1369.5563420000003,0.5853190000000006,585.3190000000006,784.2373419999997,0.4273785473807112
1333.7236370000007,0.7491823333333338,749.1823333333339,584.5413036666669,0.5617223182896424
1273.427065666667,0.8143733333333337,814.3733333333337,459.0537323333333,0.6395131337239102
1198.1235746666675,0.8331673333333345,833.1673333333345,364.9562413333331,0.6953934894112501
1257.8532120000011,0.8272066666666674,827.2066666666674,430.64654533333373,0.6576337038177923
1265.2031566666683,0.8274533333333342,827.4533333333342,437.7498233333341,0.654008274460333
1233.277444999999,0.8290300000000009,829.0300000000009,404.24744499999815,0.672216947906642
1182.513776999999,0.8303926666666674,830.3926666666674,352.12111033333156,0.7022266317888897
1116.1790670000012,0.828735333333334,828.7353333333341,287.4437336666671,0.7424752513597652
1052.6139746666668,0.8293630000000004,829.3630000000004,223.25097466666637,0.7879080270263715
1004.6474530000011,0.8228909999999997,822.8909999999997,181.75645300000133,0.819084344008185
967.4507863333326,0.8205773333333329,820.577333333333,146.8734529999997,0.8481850910921738
937.5427519999994,0.8190319999999998,819.0319999999998,118.51075199999957,0.8735942955697878
912.8925583333336,0.8233006666666665,823.3006666666664,89.59189166666715,0.9018593252307424
913.425846000001,0.8228400000000003,822.8400000000004,90.58584600000063,0.9008284619964645
926.3097053333328,0.8193926666666671,819.3926666666671,106.91703866666569,0.8845774387863166
928.6861946666666,0.8143843333333336,814.3843333333336,114.30186133333291,0.8769208996647578
1039.0104829999998,0.8249973333333336,824.9973333333336,214.0131496666662,0.7940221459087374
1224.321948333334,0.8269580000000005,826.9580000000005,397.3639483333334,0.6754416198498574
1286.1888526666673,0.8262676666666668,826.2676666666669,459.9211860000005,0.6424155091638046
1360.6601692233323,0.8307120000000006,830.7120000000006,529.9481692233318,0.6105212887022133
1394.9326803333342,0.833419333333334,833.419333333334,561.5133470000003,0.5974620460782232
1424.8108956666674,0.834077666666667,834.077666666667,590.7332290000004,0.5853953455882319
1432.6225366666663,0.8360983333333339,836.0983333333339,596.5242033333324,0.5836138354201196
1421.7512243333347,0.8397073333333344,839.7073333333343,582.0438910000004,0.5906148128882932
1387.7868589358548,0.8397473333333342,839.7473333333342,548.0395256025206,0.6050982021671877
1343.2160806025597,0.8390590000000012,839.0590000000012,504.1570806025585,0.6246642011787141
1229.9716366666657,0.8365243333333345,836.5243333333345,393.4473033333312,0.6801167672454554
1262.6684500000013,0.8356456666666674,835.6456666666674,427.0227833333339,0.6618092553644359
1274.6090986666684,0.8354980000000007,835.4980000000007,439.11109866666766,0.6554935163055018
1243.5212186666665,0.8369480000000009,836.9480000000009,406.57321866666564,0.6730468185314897
1220.1442866666666,0.8389110000000007,838.9110000000007,381.2332866666659,0.687550652137901
1158.9550163333327,0.8374636666666673,837.4636666666672,321.4913496666654,0.7226023916926558
1087.3076520000006,0.8357520000000006,835.7520000000006,251.555652,0.7686435375146243
1028.026295666667,0.823956,823.956,204.070295666667,0.801493116930118
987.0690126666658,0.822233,822.233,164.83601266666585,0.833004571563497
945.4586599999994,0.8213856666666665,821.3856666666665,124.07299333333299,0.868769520463927
918.724180333333,0.8247339999999999,824.7339999999998,93.99018033333323,0.897694887817983
913.9373999999999,0.8245286666666665,824.5286666666665,89.40873333333343,0.9021719284785441
926.1850206666664,0.8237459999999998,823.7459999999998,102.43902066666669,0.8893968069220864
940.177685000001,0.8228863333333335,822.8863333333335,117.29135166666754,0.8752455482213797
1062.1177463333327,0.8278266666666669,827.8266666666669,234.29107966666572,0.7794113877905808
1146.9807136666655,0.8278960000000003,827.8960000000003,319.08471366666515,0.7218046390277865
1283.052777166667,0.8284740000000004,828.4740000000004,454.57877716666667,0.6457053168377832
1365.2832487773326,0.8322176666666675,832.2176666666675,533.0655821106651,0.609556784214523
1405.7250633333338,0.8357253333333338,835.7253333333338,569.99973,0.5945154960470116
1420.7248030000003,0.8363080000000006,836.3080000000006,584.4168029999997,0.5886488349003649
1431.0834786666676,0.8363886666666673,836.3886666666673,594.6948120000003,0.5844443592109148
1414.341485,0.8404673333333343,840.4673333333343,573.8741516666656,0.5942463982334042
1383.1245760000004,0.8405073333333343,840.5073333333343,542.6172426666661,0.6076873680923837
1312.2282333333328,0.8395360000000013,839.5360000000013,472.6922333333315,0.6397789490227666
1246.9080530616695,0.8365323333333343,836.5323333333343,410.3757197283352,0.6708853401654638
1284.746713666668,0.8339130000000007,833.9130000000007,450.83371366666734,0.6490874746976487
1271.4504426666674,0.8338593333333341,833.859333333334,437.5911093333334,0.6558331377701557
1246.1797923333347,0.8378030000000007,837.8030000000008,408.3767923333339,0.6722970514802737
1207.3130539999995,0.8400030000000006,840.0030000000006,367.3100539999989,0.6957623768060417
1153.4993280000012,0.8392210000000007,839.2210000000007,314.27832800000056,0.7275435534540682
1078.6760039999995,0.8359610000000006,835.9610000000006,242.71500399999888,0.7749880380207299
984.695513666667,0.8236100000000001,823.61,161.085513666667,0.8364108382429407
956.0296743333338,0.8230819999999998,823.0819999999998,132.94767433333402,0.8609377115558237
935.1947541019986,0.8225286666666665,822.5286666666665,112.66608743533209,0.87952660454825
917.7966393333334,0.8248209999999998,824.8209999999998,92.97563933333356,0.8986969058844354
