Dataset,Model,R2,RMSE,MAE,MSE,MAPE,MedianAE,MaxError,FitTimeSeconds
Electricity demand,Persistence/NaiveMean,-0.07528607900724715,194.4917281908749,157.87355365839053,37827.03233467317,0.1273933347411776,138.77975610551266,1082.2365561055126,0.0013415813446044922
Electricity demand,LinearRegression,0.3806724235191833,147.60440984236917,118.7346676673313,21787.061804914087,0.09813880688715247,102.6743843456486,1308.5029584112003,0.02119922637939453
Electricity demand,Ridge,0.3806773234440314,147.6038259413986,118.73450255618468,21786.889432538694,0.09813851852303636,102.67416972538172,1308.4784372993145,0.01841878890991211
Electricity demand,RandomForest,0.46165657353899736,137.6159684872321,112.46137748668684,18938.15478267886,0.09300678872067723,100.08023449999996,1169.3117271899996,125.74995160102844
Electricity demand,GradientBoosting,0.4798929726034791,135.26501485746377,111.09182226201668,18296.624244389892,0.09213119320167347,100.18233313422854,1272.8838648438239,25.14042067527771
Electricity demand,ExtraTrees,0.46833288599360223,136.75997814437233,111.92504740190265,18703.291622049197,0.09271652319652206,99.9078693333347,1207.6517740000018,46.90675735473633
Electricity demand,XGBoost,0.4408232748250669,140.25348676919836,114.04281397626576,19671.040550917696,0.09456701109532699,101.45874082031253,1163.6889697265624,2.3506808280944824
Wind power,Persistence/NaiveMean,-0.0004176796157799867,0.2946530864582997,0.25843200099479285,0.08682044135940223,12.599272279044726,0.26209143155354053,0.5841085684464594,0.0007984638214111328
Wind power,LinearRegression,0.6252954235227017,0.18032868441252434,0.1413427027375778,0.0325184344219518,5.757825918481901,0.12055962866616585,1.2667398929660223,0.008513689041137695
Wind power,Ridge,0.6252965179941402,0.18032842105206498,0.14134403901004036,0.032518339439130836,5.756840932771447,0.12047036783834145,1.2666922823953835,0.00978708267211914
Wind power,RandomForest,0.690748154674897,0.16382360008554572,0.1255713967734571,0.026838171944988814,6.196440769590253,0.10042050000000091,0.8779614999999996,50.3589243888855
Wind power,GradientBoosting,0.7011747454830544,0.16103822115291405,0.1234723105354335,0.025933308672094854,6.394578410161272,0.10056932654001619,0.8331837164500341,6.4138476848602295
Wind power,ExtraTrees,0.6911698460192666,0.16371186823751116,0.12556428237323392,0.02680157580181622,6.206536206156689,0.10102266666666676,0.8635513333333349,30.149811029434204
Wind power,XGBoost,0.6995886295271194,0.16146503790580585,0.12229631947067421,0.02607095846592332,5.639790550759637,0.0958212405204773,0.8810705544471741,1.3248579502105713
