Dataset,Total,Train,Test,Train start,Train end,Test start,Test end
Electricity demand,48048,33633,14415,2015-01-03 01:00:00,2018-11-04 09:00:00,2018-11-04 10:00:00,2020-06-27 00:00:00
Wind power,43800,30659,13141,2017-01-02 00:00:00,2020-07-02 10:00:00,2020-07-02 11:00:00,2021-12-31 23:00:00
